word,ict,not ict,total number,percentage of ict
шум,2126,204,2330,0.91
шут,165,13,178,0.93
щек,249,10,259,0.96
щель,195,12,207,0.94
щи,97,15,112,0.87
щит,714,33,747,0.96
ы,66,79,145,0.46
э,300,257,557,0.54
эй,431,467,898,0.48
эль,64,43,107,0.6
эн,83,64,147,0.56
эх,414,374,788,0.53
ю,48,56,104,0.46
юг,470,22,492,0.96
юн,179,32,211,0.85
я,54284,91443,145727,0.37
явь,221,20,241,0.92
яд,885,63,948,0.93
