,POS_ms,left_syll,syll_onset,syll_type,right_onset,left_neigh,ict,word
156,ADVPRO,closed,closed,closed,closed,True,False,4783
157,ADVPRO,closed,closed,closed,closed,True,True,4015
158,ADVPRO,closed,closed,closed,nan,False,False,109
159,ADVPRO,closed,closed,closed,nan,False,True,683
160,ADVPRO,closed,closed,closed,nan,True,False,57
161,ADVPRO,closed,closed,closed,nan,True,True,329
162,ADVPRO,closed,closed,closed,open,False,False,708
163,ADVPRO,closed,closed,closed,open,False,True,1422
164,ADVPRO,closed,closed,closed,open,True,False,667
165,ADVPRO,closed,closed,closed,open,True,True,1074
166,ADVPRO,closed,closed,open,closed,False,False,1718
167,ADVPRO,closed,closed,open,closed,False,True,955
168,ADVPRO,closed,closed,open,closed,True,False,3086
169,ADVPRO,closed,closed,open,closed,True,True,711
170,ADVPRO,closed,closed,open,nan,False,False,2
171,ADVPRO,closed,closed,open,nan,False,True,38
172,ADVPRO,closed,closed,open,nan,True,False,8
173,ADVPRO,closed,closed,open,nan,True,True,22
174,ADVPRO,closed,closed,open,open,False,False,207
175,ADVPRO,closed,closed,open,open,False,True,199
176,ADVPRO,closed,closed,open,open,True,False,370
177,ADVPRO,closed,closed,open,open,True,True,165
178,ADVPRO,nan,closed,closed,closed,False,False,39918
179,ADVPRO,nan,closed,closed,closed,False,True,10608
180,ADVPRO,nan,closed,closed,nan,False,True,80
181,ADVPRO,nan,closed,closed,open,False,False,6022
182,ADVPRO,nan,closed,closed,open,False,True,3109
183,ADVPRO,nan,closed,open,closed,False,False,13832
184,ADVPRO,nan,closed,open,closed,False,True,3426
185,ADVPRO,nan,closed,open,nan,False,True,11
186,ADVPRO,nan,closed,open,open,False,False,1579
187,ADVPRO,nan,closed,open,open,False,True,651
188,ADVPRO,open,closed,closed,closed,False,False,5268
189,ADVPRO,open,closed,closed,closed,False,True,5294
190,ADVPRO,open,closed,closed,closed,True,False,5138
191,ADVPRO,open,closed,closed,closed,True,True,14092
192,ADVPRO,open,closed,closed,nan,False,False,95
193,ADVPRO,open,closed,closed,nan,False,True,698
194,ADVPRO,open,closed,closed,nan,True,False,61
195,ADVPRO,open,closed,closed,nan,True,True,906
196,ADVPRO,open,closed,closed,open,False,False,580
197,ADVPRO,open,closed,closed,open,False,True,1507
198,ADVPRO,open,closed,closed,open,True,False,579
199,ADVPRO,open,closed,closed,open,True,True,3807
200,ADVPRO,open,closed,open,closed,False,False,2628
201,ADVPRO,open,closed,open,closed,False,True,1020
202,ADVPRO,open,closed,open,closed,True,False,336
203,ADVPRO,open,closed,open,closed,True,True,1779
204,ADVPRO,open,closed,open,nan,False,False,2
205,ADVPRO,open,closed,open,nan,False,True,38
206,ADVPRO,open,closed,open,nan,True,False,1
207,ADVPRO,open,closed,open,nan,True,True,21
208,ADVPRO,open,closed,open,open,False,False,302
209,ADVPRO,open,closed,open,open,False,True,217
